,WSM,TOPSIS,VIKOR,Average
1400,0.6226,0.1555,0.368,0.3905025313618338
1401,0.6101,0.1641,0.4292,0.41788678490710857
1402,0.698,0.2032,0.2207,0.3663087727587206
1403,0.6106,0.1269,0.5759,0.4952049676649054
1404,0.5922,0.1305,0.5392,0.4696994390032843
1405,0.6348,0.1332,0.5275,0.4743890860886241
1406,0.3337,0.0596,0.8256,0.6034438383147184
1407,0.4519,0.1057,0.5949,0.47026319651871545
1408,0.6833,0.1719,0.3586,0.4080951371922974
1409,0.5881,0.1248,0.514,0.4538092484734087
1410,0.571,0.1272,0.6007,0.5004821645173781
1411,0.6698,0.1542,0.3801,0.4112149133968757
1412,0.5581,0.1143,0.5277,0.4532638458999349
1413,0.6801,0.1541,0.3731,0.41137944771220647
1414,0.4807,0.1024,0.6719,0.5244854916963863
1415,0.5886,0.1379,0.5854,0.49632801150045924
1416,0.6302,0.1372,0.5562,0.4896496502602652
1417,0.6299,0.1437,0.4386,0.42630351746144435
1418,0.4702,0.093,0.6183,0.48781118580860766
1419,0.686,0.1782,0.3051,0.38754196804991325
1420,0.5458,0.1404,0.4658,0.4171066961821639
1421,0.5656,0.1423,0.5921,0.495324806566358
1422,0.7135,0.2628,0.096,0.35657201516664205
1423,0.5622,0.1722,0.493,0.4400387710191001
1424,0.6182,0.1447,0.5155,0.46431217946549713
1425,0.6316,0.145,0.4201,0.417532294559355
1426,0.6829,0.181,0.3057,0.3870723795364376
1427,0.4971,0.1235,0.5808,0.4718704027590626
1428,0.6321,0.1406,0.4229,0.41864399553797493
1429,0.6289,0.1588,0.358,0.3882657260176335
1430,0.4013,0.0793,0.6968,0.5261748806243034
1431,0.6047,0.1451,0.4554,0.4279523349626685
1432,0.3519,0.0775,0.8177,0.6007372487202703
1433,0.651,0.1802,0.3434,0.391744294151172
1434,0.6324,0.131,0.5632,0.4936915757839099
1435,0.7006,0.2013,0.3979,0.4353007971506599
1436,0.5349,0.1157,0.6074,0.4956883385757628
1437,0.4541,0.09,0.6423,0.49994600408444106
1438,0.5575,0.1231,0.5348,0.4579441592596198
1439,0.6479,0.1369,0.5455,0.4882238113816244
1440,0.5571,0.1152,0.5829,0.48573614133601384
1441,0.6622,0.152,0.4698,0.4527570960239055
1442,0.6513,0.1379,0.5296,0.4803970659777181
1443,0.4977,0.1048,0.5597,0.457676758203866
1444,0.6248,0.1867,0.3216,0.3744934645624674
1445,0.6457,0.1352,0.5472,0.48844992578564284
1446,0.5476,0.1314,0.6148,0.5041254407387114
1447,0.7109,0.2209,0.229,0.3767430224967677
1448,0.6796,0.1538,0.3807,0.4146490190510524
1449,0.6646,0.1584,0.3978,0.41831593323706906
1450,0.528,0.1193,0.6323,0.5098315329596631
1451,0.5244,0.1242,0.5422,0.45455162963078244
1452,0.5957,0.1539,0.4547,0.4259733630169849
1453,0.6092,0.1495,0.4395,0.42131950821199815
1454,0.7871,0.2479,0.234,0.41197039335369723
1455,0.7273,0.2473,0.0888,0.35788680473021073
1456,0.6075,0.1283,0.5823,0.49828321464805536
1457,0.6373,0.133,0.563,0.4949964222092923
1458,0.7024,0.1937,0.3718,0.42313907760924185
1459,0.654,0.1369,0.5246,0.47829725380771315
1460,0.572,0.1349,0.4871,0.4353497536464216
1461,0.5954,0.1367,0.4908,0.4437889351932966
1462,0.6291,0.1595,0.5518,0.4889039343265709
1463,0.4544,0.1047,0.6464,0.5034888072241527
1464,0.5201,0.1163,0.6561,0.522869117466312
1465,0.6619,0.1479,0.4289,0.43146523614307564
1466,0.62,0.1269,0.5593,0.487974720656716
1467,0.6185,0.1353,0.5333,0.47350261034127367
1468,0.6139,0.1423,0.5156,0.4630022775321953
1469,0.6623,0.1602,0.4227,0.42984312836196414
1470,0.6311,0.1282,0.476,0.4448325685019027
1471,0.6319,0.1484,0.4022,0.409082766686645
1472,0.4933,0.1221,0.6103,0.4892591808029768
1473,0.3831,0.0912,0.7166,0.5372207497854118
1474,0.5322,0.1216,0.6009,0.49155237869427504
1475,0.576,0.1295,0.6008,0.5018631237698183
1476,0.6934,0.2318,0.123,0.3461857651608454
1477,0.4704,0.1125,0.5714,0.45967497974112104
1478,0.377,0.0642,0.7337,0.5466444337958634
1479,0.6454,0.1572,0.3917,0.40918972250045577
1480,0.5686,0.1368,0.5969,0.4984177655340949
1481,0.7215,0.2308,0.1109,0.3553061313853168
1482,0.5655,0.1296,0.5298,0.4575378869558236
1483,0.6556,0.1586,0.4116,0.42215606119064547
1484,0.6887,0.1494,0.4866,0.4689855285613832
1485,0.6249,0.1378,0.4468,0.42849944457373573
1486,0.5851,0.125,0.5608,0.4800043978965192
