,WSM,TOPSIS,VIKOR,Average
2374,0.5599,0.1264,0.579,0.3951090862027853
2375,0.6288,0.1519,0.4621,0.4802792687593334
2376,0.5582,0.1164,0.6059,0.3795254154862359
2377,0.666,0.1484,0.4001,0.5246503340321056
2378,0.6653,0.1862,0.3224,0.5731464298065547
2379,0.5256,0.1314,0.5168,0.42091802052181126
2380,0.5469,0.1265,0.5781,0.39194438636112655
2381,0.4574,0.0798,0.6682,0.3143230567425813
2382,0.5961,0.1313,0.5521,0.4201739568321673
2383,0.6105,0.1678,0.3812,0.5238757696248224
2384,0.6263,0.155,0.4454,0.4893346687084413
2385,0.5996,0.1537,0.4722,0.46720183967959716
2386,0.6129,0.1572,0.4615,0.4770051980848846
2387,0.6476,0.1607,0.4198,0.5098436221038761
2388,0.524,0.117,0.6455,0.3490802558151922
2389,0.6546,0.1508,0.4667,0.48448619072167576
2390,0.6177,0.1541,0.4566,0.4807041512198537
2391,0.5386,0.232,0.6102,0.38747543406001883
2392,0.6492,0.153,0.3954,0.5235316685741179
2393,0.6418,0.1403,0.4187,0.5071898263963898
2394,0.6256,0.1549,0.4818,0.46876315448209027
2395,0.6831,0.1639,0.326,0.5731684612746937
2396,0.6197,0.1266,0.5593,0.4227554032771196
2397,0.6385,0.1774,0.3058,0.5761375686413792
2398,0.6556,0.1973,0.4564,0.4953694974460984
2399,0.5294,0.1197,0.6165,0.3659063049470451
2400,0.5083,0.1144,0.533,0.4057640767736838
2401,0.6592,0.1489,0.3954,0.5256718282350692
2402,0.6015,0.128,0.5575,0.41854363571794995
2403,0.4954,0.1122,0.5903,0.36984852169503124
2404,0.5528,0.1323,0.527,0.42217656851132795
2405,0.7231,0.2105,0.2724,0.6185213634143933
2406,0.5432,0.1091,0.6034,0.3758056292819468
2407,0.568,0.1316,0.4868,0.4487844560588078
2408,0.6021,0.1325,0.5907,0.4019141724298858
2409,0.6995,0.1644,0.3338,0.5726076125934758
2410,0.6236,0.2029,0.3854,0.5281974015460509
2411,0.5035,0.173,0.6231,0.3615355515022001
2412,0.5833,0.1274,0.5823,0.40019201766152207
2413,0.7673,0.2629,0.1483,0.7079415413718848
2414,0.5246,0.1184,0.6424,0.35097789104158683
2415,0.5988,0.1317,0.5849,0.4038189693414612
2416,0.5972,0.1321,0.5883,0.40163806592503154
2417,0.5961,0.1253,0.5455,0.4231574104278454
2418,0.5031,0.0974,0.6213,0.3538005016955177
2419,0.5161,0.1131,0.5651,0.38945902223468903
2420,0.5148,0.1068,0.6028,0.36784453237747056
2421,0.5337,0.1228,0.5346,0.4120554210297445
2422,0.5913,0.1424,0.4311,0.48768234641003766
2423,0.6585,0.1809,0.3168,0.5743892521626776
2424,0.7027,0.192,0.2183,0.6444719567211595
2425,0.4833,0.1216,0.6865,0.31669049717350223
2426,0.6257,0.1964,0.2698,0.597049416715233
2427,0.6721,0.1445,0.4169,0.5163434535268168
2428,0.6313,0.1495,0.4195,0.5048793301374102
2429,0.5086,0.104,0.6052,0.3645725058201729
2430,0.6492,0.1378,0.4297,0.5026030491351997
2431,0.5339,0.1216,0.5957,0.37838479752759624
2432,0.5765,0.2442,0.305,0.5708529074989459
2433,0.5416,0.108,0.6244,0.36428421870841454
2434,0.5827,0.1505,0.4602,0.46946240850572907
2435,0.4362,0.0755,0.7007,0.29078240662048316
2436,0.6414,0.1319,0.5633,0.4276114123827847
2437,0.6241,0.1279,0.5748,0.4161792942951391
2438,0.6042,0.1339,0.4869,0.4582860416813936
2439,0.6124,0.1232,0.5788,0.4102011019000315
2440,0.6165,0.1226,0.5837,0.4088722575572963
2441,0.6435,0.1622,0.4302,0.5030378932048758
2442,0.6543,0.1681,0.3318,0.5633334722879513
2443,0.649,0.1727,0.4372,0.5015572818731675
2444,0.659,0.2014,0.2076,0.6426302731742413
2445,0.6097,0.1297,0.5927,0.4029144946511604
2446,0.3801,0.0839,0.8579,0.2027391674048209
2447,0.6436,0.1589,0.4077,0.5155856863800624
2448,0.3747,0.0755,0.8387,0.20687904195447154
2449,0.5722,0.1335,0.5006,0.44218709049451
2450,0.6415,0.1562,0.3719,0.5356106673694989
2451,0.5899,0.1391,0.6038,0.3922859480022194
2452,0.6865,0.1545,0.3762,0.5440411243646937
2453,0.6113,0.1654,0.3744,0.5278563876661908
2454,0.3904,0.0821,0.7386,0.25820444419103245
2455,0.5886,0.1444,0.5139,0.4401045387177915
2456,0.5848,0.145,0.5621,0.4130180540848063
2457,0.6383,0.1452,0.4156,0.5084997246803582
2458,0.6907,0.167,0.3845,0.5414795684049399
2459,0.6564,0.1477,0.4527,0.4924280901817036
2460,0.588,0.1301,0.5863,0.3997504821760694
2461,0.5691,0.2198,0.5459,0.4270503237324613
2462,0.5473,0.1254,0.5342,0.41606468968178495
2463,0.4798,0.1119,0.6256,0.34624524689878416
2464,0.671,0.1618,0.357,0.5519297708948123
2465,0.6223,0.1849,0.357,0.5426162188877145
2466,0.6514,0.1901,0.3962,0.5272504291131492
2467,0.4577,0.0924,0.6588,0.3204183296879253
2468,0.5126,0.1256,0.5161,0.4175691140398197
2469,0.6685,0.1509,0.4083,0.5208302391374756
2470,0.3828,0.1364,0.8232,0.22476159814345506
2471,0.5969,0.1363,0.4515,0.47671517072566505
2472,0.6439,0.1353,0.5401,0.44064415802322854
2473,0.5967,0.1221,0.5623,0.4140934025072121
2474,0.5999,0.1321,0.5772,0.4081556627072568
2475,0.6738,0.2221,0.1642,0.6744483901678467
2476,0.597,0.1548,0.5373,0.4307160979113736
2477,0.3041,0.0567,0.7921,0.20265989736501888
2478,0.6371,0.1511,0.5321,0.44440280152132255
2479,0.6099,0.1515,0.5667,0.418516095269943
2480,0.5968,0.1777,0.3685,0.5292479192212285
2481,0.623,0.1767,0.3428,0.5504076552883326
2482,0.4173,0.0864,0.705,0.2838658943938141
2483,0.6182,0.1259,0.5534,0.42534135820538305
2484,0.6702,0.1776,0.2784,0.5997077755040366
2485,0.4493,0.1389,0.6832,0.310391979599989
2486,0.6162,0.1283,0.5837,0.40930624231741203
2487,0.4923,0.1083,0.5765,0.3763863042141677
2488,0.5965,0.1411,0.4298,0.48959088328930317
2489,0.4529,0.0882,0.6703,0.31258358722108237
2490,0.6941,0.2171,0.1413,0.6922265019486036
2491,0.6828,0.2262,0.1434,0.6895468657023974
2492,0.6154,0.1852,0.2881,0.582609602564187
2493,0.5459,0.1794,0.6039,0.38432313877777385
2494,0.3475,0.1589,0.8081,0.22391698908300814
2495,0.5101,0.099,0.6075,0.3633301900475654
2496,0.3884,0.1001,0.707,0.275864849156249
2497,0.6248,0.1464,0.4297,0.4971176329602482
2498,0.514,0.1206,0.6138,0.3630120218394977
2499,0.5297,0.1065,0.5639,0.39320566882993946
2500,0.5494,0.2059,0.3821,0.5137963799016104
2501,0.5555,0.4157,0.6071,0.43674157347337567
2502,0.6459,0.1353,0.5334,0.4447324690192971
2503,0.6674,0.2223,0.3164,0.581002770217148
2504,0.5626,0.151,0.5839,0.39587075795011684
2505,0.6337,0.1528,0.5452,0.436739063972986
2506,0.6045,0.1481,0.4441,0.48391790419450287
